code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
302550,리메드,2020-01-03,13400,14100,13300,13500,103588,124038.0,117669.0,270154.0,1.0075,1.0112,1.0038,1.0753,13000.0,1.0385,12640.0,1.068
005990,매일홀딩스,2020-01-03,10550,10650,10400,10550,7025,6741.0,8624.0,8691.0,1.0,0.9858,0.986,0.9954,10630.0,0.9925,10530.0,1.0019
065650,메디프론,2020-01-03,4830,4860,4775,4790,92712,120085.0,141284.0,119215.0,0.9917,1.019,1.0086,1.0332,4709.0,1.0172,4796.25,0.9987
327260,메탈라이프,2020-01-03,28600,32050,28400,28800,707725,217010.0,194351.0,514065.0,1.007,1.0018,1.0256,1.0184,27900.0,1.0323,,
257370,명성티엔에스,2020-01-03,17000,17250,16650,16900,63460,51319.0,68557.0,67688.0,0.9941,0.9798,1.021,1.0312,16680.0,1.0132,17680.0,0.9559
250060,모비스,2020-01-03,2290,2320,2265,2295,149363,133121.0,210652.0,181776.0,1.0022,1.0066,1.0271,1.0229,2257.0,1.0168,2223.5,1.0322
118990,모트렉스,2020-01-03,2410,2420,2365,2380,58541,68229.0,145051.0,79130.0,0.9876,0.9817,1.0211,1.0021,2380.0,1.0,2732.0,0.8712
028040,미래SCI,2020-01-03,484,491,467,470,1500764,1488900.0,1284277.0,12003734.0,0.9711,0.9979,1.0167,1.0783,473.8,0.992,487.95,0.9632
049950,미래컴퍼니,2020-01-03,36300,36600,34900,34900,42990,21106.0,28501.0,22272.0,0.9614,0.993,1.029,1.024,34660.0,1.0069,33319.15,1.0474
213090,미래테크놀로지,2020-01-03,8320,8320,8220,8240,2450,527.0,3962.0,1165.0,0.9904,0.9916,1.0,0.988,8220.0,1.0024,8368.5,0.9846
029480,바른테크놀로지,2020-01-03,979,1000,880,911,3456935,2096438.0,1067450.0,3879246.0,0.9305,0.9905,1.0,1.0593,974.4,0.9349,1055.8,0.8629
053030,바이넥스,2020-01-03,7960,8010,7850,7910,167432,225514.0,167746.0,204188.0,0.9937,1.0025,0.9987,1.0155,7864.0,1.0058,7582.5,1.0432
008470,부스타,2020-01-03,5390,5420,5360,5390,27866,29001.0,15812.0,23892.0,1.0,0.9926,1.0037,0.9963,5426.0,0.9934,5434.0,0.9919
018290,브이티지엠피,2020-01-03,9100,9170,8950,9100,233701,137795.0,131681.0,410736.0,1.0,0.9945,1.0022,1.0487,8954.0,1.0163,9011.0,1.0099
023600,삼보판지,2020-01-03,8630,8630,8410,8500,29815,131441.0,73774.0,23784.0,0.9849,1.0451,0.9762,1.0072,8416.0,1.01,8323.0,1.0213
009300,삼아제약,2020-01-03,16100,16150,15850,16000,3646,3955.0,4157.0,3934.0,0.9938,1.0,0.9969,1.0,15940.0,1.0038,15795.0,1.013
042940,상지카일룸,2020-01-03,1755,1765,1675,1740,301222,634972.0,1650748.0,766910.0,0.9915,1.0385,1.073,1.1014,1638.0,1.0623,1523.75,1.1419
189860,서전기전,2020-01-03,3755,3790,3725,3740,28936,42172.0,15690.0,13056.0,0.996,1.0067,0.9947,1.0,3782.0,0.9889,3723.75,1.0044
080470,성창오토텍,2020-01-03,7980,8030,7910,7930,27960,101357.0,34898.0,20530.0,0.9937,0.9888,1.01,1.0217,7966.0,0.9955,7919.5,1.0013
